DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-130,-131,0,0,301,278,277,276,1590185581006
-130,-131,0,0,301,278,278,277,1590185583436
-132,-131,0,0,301,278,278,277,1590185585867
-132,-130,0,0,301,277,278,277,1590185588280
-130,-131,0,0,301,278,278,277,1590185590706
-131,-132,0,0,301,279,278,277,1590185593137
-132,-130,0,0,301,278,278,278,1590185595586
-132,-130,0,-1,301,278,276,276,1590185598016
-132,-129,0,-1,301,278,275,275,1590185600446
-130,-130,0,-1,301,278,276,276,1590185602877
-130,-131,0,0,301,278,278,278,1590185605306
-132,-131,0,0,301,278,277,277,1590185607736
-132,-130,0,-1,301,278,276,275,1590185610166
-131,-129,0,0,301,278,277,277,1590185612550
-130,-131,0,0,301,278,278,277,1590185614976
-131,-131,0,0,301,278,278,278,1590185617406
-132,-130,0,-1,301,278,276,275,1590185619836
-131,-129,0,-1,301,278,275,275,1590185622266
-130,-131,0,0,301,278,277,277,1590185624696
-130,-131,0,0,301,278,278,277,1590185627126
-132,-131,0,0,301,279,276,277,1590185629557
-132,-129,0,-1,302,279,276,275,1590185631930
-132,-130,0,-1,302,278,276,275,1590185634357
-131,-129,0,-1,302,277,275,275,1590185636786
-130,-130,0,0,302,278,278,277,1590185639216
-130,-129,0,-1,302,278,276,275,1590185641657
-130,-129,0,-1,302,277,276,275,1590185644086
-130,-131,0,0,302,278,278,277,1590185646517
-131,-131,0,0,302,278,278,277,1590185648946
-132,-130,0,-1,302,278,276,275,1590185651376
-131,-129,0,-1,302,278,276,275,1590185653806
-130,-129,0,-1,302,278,276,276,1590185656237
-130,-131,0,0,302,278,278,275,1590185658630
-131,-129,0,-1,302,278,276,275,1590185661057
-130,-129,0,-1,302,278,276,275,1590185663486
-130,-130,0,0,302,278,278,277,1590185665916
-131,-130,0,0,302,278,276,275,1590185668306
-130,-129,0,-1,302,278,275,275,1590185670736
-130,-129,0,-1,302,278,276,275,1590185673166
-130,-130,0,0,302,278,278,277,1590185675597
-130,-131,0,0,302,278,278,277,1590185678026
-130,-128,0,-1,302,277,275,275,1590185680467
-129,-129,0,0,302,278,277,276,1590185682896
-130,-131,0,0,302,278,278,277,1590185685327
